Restaurant ID,Country Code,City,Restaurant Name & Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines
6317637,162,Makati City,"Le Petit Souffle,Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"French, Japanese, Desserts"
6304287,162,Makati City,"Izakaya Kikufuji,Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.014101,14.553708,Japanese
6300002,162,Mandaluyong City,"Heat - Edsa Shangri-La,Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.056831,14.581404,"Seafood, Asian, Filipino, Indian"
6318506,162,Mandaluyong City,"Ooma,Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056475,14.585318,"Japanese, Sushi"
6314302,162,Mandaluyong City,"Sambo Kojin,Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"Japanese, Korean"
18189371,162,Mandaluyong City,"Din Tai Fung,Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.056314,14.583764,Chinese
6300781,162,Pasay City,"Buffet 101,Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9796667,14.53133333,"Asian, European"
6301290,162,Pasay City,"Vikings,Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.9793333,14.54,"Seafood, Filipino, Asian, European"
6300010,162,Pasay City,"Spiral - Sofitel Philippine Plaza Manila,Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98009,14.55299,"European, Asian, Indian"
6314987,162,Pasig City,"Locavore,Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,Filipino
6309903,162,Pasig City,"Silantro Fil-Mex,75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican"
6309455,162,Pasig City,"Mad Mark's Creamery & Good Eats,23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06082,14.570849,"American, Ice Cream, Desserts"
6318433,162,Quezon City,"Silantro Fil-Mex,Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican"
6310470,162,San Juan City,"Guevarra's,387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",121.0335917,14.59345,Filipino
6314605,162,San Juan City,"Sodam Korean Restaurant,17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",121.03811,14.59889,Korean
18185059,162,Santa Rosa,"Cafe Arabelle,Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino"
18182702,162,Santa Rosa,"Nonna's Pasta & Pizzeria,Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.0565874,14.23767897,"Italian, Pizza"
6318213,162,Tagaytay City,"Balay Dako,Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",120.951589,14.101834,Filipino
18255654,162,Taguig City,"Hobing Korean Dessert Cafe,Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,"Cafe, Korean, Desserts"
6308205,162,Taguig City,"Wildflour Cafe + Bakery,Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,"Cafe, Bakery, American, Italian"
6315438,162,Taguig City,"NIU by Vikings,Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,"Seafood, American, Mediterranean, Japanese"
6310406,162,Taguig City,"The Food Hall by Todd English,Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,"American, Asian, Italian, Seafood"
18483372,184,Singapore,"Sky On 57,10 Bayfront Avenue, 57 Marina Bay Sands 018956","Bayfront Avenue, Downtown Core","Bayfront Avenue, Downtown Core, Singapore",103.8600048,1.2826608,"Chinese, Continental, Singaporean"
18484349,184,Singapore,"Cut By Wolfgang Puck,2 Bayfront Avenue, B1-71 Marina Bay Sands 018972","Bayfront Subzone, Downtown Core","Bayfront Subzone, Downtown Core, Singapore",103.8594222,1.285476931,"American, Steak"
18496057,184,Singapore,"Restaurant Andre,41 Bukit Pasoh Road 089855","Cantonment Road, Outram","Cantonment Road, Outram, Singapore",103.8403602,1.279419756,"French, Mediterranean, European"
18483389,184,Singapore,"Potato Head Folk,36 Keong Saik Road 089143","Chinatown, Outram","Chinatown, Outram, Singapore",103.8416688,1.280502991,American
18483222,184,Singapore,"Jaan,2 Stamford Road, Level 70 Equinox Complex 178882","City Hall, Downtown Core","City Hall, Downtown Core, Singapore",103.8536048,1.293220698,French
18483085,184,Singapore,"Rhubarb Le Restaurant,3 Duxton Hill, Duxton 089589","Duxton Hill, Outram","Duxton Hill, Outram, Singapore",103.8430222,1.27944363,French
18484423,184,Singapore,"Al'frank Cookies,12 Haji Lane 189205","Haji Lane, Rochor","Haji Lane, Rochor, Singapore",103.859422,1.300404333,Bakery
18483714,184,Singapore,"Fratini La Trattoria,10 Greenwood Avenue, Hillcrest Park 289201","Hillcrest, Bukit Timah","Hillcrest, Bukit Timah, Singapore",103.8070809,1.331128397,Italian
18485469,184,Singapore,"Boufe Boutique Cafe,308 Tanglin Road,Phoenix Park #01-01  247974","Kay Siang Road, Tanglin","Kay Siang Road, Tanglin, Singapore",103.8146178,1.29782554,"Italian, French, Bakery, Cafe"
18479690,184,Singapore,"The Refinery Singapore,115 King George Avenue, #01-02 Ann Chuan Industrial Building 208561","Lavender, Kallang","Lavender, Kallang, Singapore",103.8621195,1.310668316,"American, Japanese, Singaporean"
18483224,184,Singapore,"Chye Seng Huat Hardware,150 Tyrwhitt Road 207563","Lavender, Kallang","Lavender, Kallang, Singapore",103.8604162,1.311550709,Cafe
18493989,184,Singapore,"Makansutra Gluttons Bay,803 Raffles Avenue, #01-15 Esplanade Mall 039802","Marina Centre, Downtown Core","Marina Centre, Downtown Core, Singapore",103.8558665,1.289761964,"Singaporean, Chinese, Seafood, Malay, Indian"
18484464,184,Singapore,"Colony,7 Raffles Avenue, Ritz-carlton Millenia Singapore 039799","Marina Centre, Downtown Core","Marina Centre, Downtown Core, Singapore",103.859955,1.2905805,"Asian, Continental, Seafood"
18483051,184,Singapore,"Summer Pavilion,The Ritz-Carlton, 7 Raffles Avenue,  Millenia Singapore,  039799","Marina Centre, Downtown Core","Marina Centre, Downtown Core, Singapore",103.8601766,1.290800881,"Chinese, Seafood, Cantonese, Dim Sum"
18482983,184,Singapore,"The Lokal,136 Neil Road 088865","Neil Road, Outram","Neil Road, Outram, Singapore",103.840921,1.278373182,"Singaporean, Australian, German"
18479742,184,Singapore,"I Am,674 North Bridge Road, #01-01 Haji Lane 188804","North Bridge Road, Rochor","North Bridge Road, Rochor, Singapore",103.8584296,1.301707168,"Western, Fusion, Fast Food"
18482938,184,Singapore,"Super Loco,The Quayside 60 Roberston Quay #01-13 238252","Robertson Quay, Singapore River","Robertson Quay, Singapore River, Singapore",103.839165,1.290083898,"American, Mexican"
18483082,184,Singapore,"Artistry,17 Jalan Pinang 199149","Sungai Pinang, Rochor","Sungai Pinang, Rochor, Singapore",103.8581813,1.303034648,"American, Bakery, European, Burger, Fusion"
18483446,184,Singapore,"Bitters & Love,118 Telok Ayer Street 068587","Telok Ayer Street, Outram","Telok Ayer Street, Outram, Singapore",103.8482541,1.28197,Finger Food
18483252,184,Singapore,"Artichoke Cafe,161 Middle Road, Sculpture Square 188978","Victoria, Rochor","Victoria, Rochor, Singapore",103.8519943,1.299707726,"Cafe, Spanish, Turkish, Greek"
18212135,214,Abu Dhabi,"Denny's,Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah), Abu Dhabi",54.38279729,24.49550307,American
5704255,214,Abu Dhabi,"Famous Dave's Barbecue,Near The One, Level 3, Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah), Abu Dhabi",54.38294616,24.49569253,American
5701978,214,Abu Dhabi,"Pizza Di Rocco,Near Corner of Salam and Al Falah Street (9th Street), Salam Street, Al Dhafrah, Abu Dhabi",Al Dhafrah,"Al Dhafrah, Abu Dhabi",54.38193094,24.48557932,"Italian, Pizza"
5701729,214,Abu Dhabi,"Sofra Istanbul,Next to ADNOC Petrol Station, Muroor Road, Al Dhafrah, Abu Dhabi",Al Dhafrah,"Al Dhafrah, Abu Dhabi",54.37127855,24.47756501,"Turkish, Arabian, Middle Eastern"
5704168,214,Abu Dhabi,"Salt,Inside Mushrif Park, Al Mushrif, Abu Dhabi",Al Mushrif,"Al Mushrif, Abu Dhabi",54.38080709,24.4543119,"Fast Food, Burger"
18277098,214,Abu Dhabi,"Genghis Grill,Level 2, Al Wahda Mall New Extension, Al Wahda, Abu Dhabi","Al Wahda Mall, Al Wahda","Al Wahda Mall, Al Wahda, Abu Dhabi",54.37500816,24.47083582,Asian
5701446,214,Abu Dhabi,"Olive Garden,Level 3, Al Wahda Mall Extension, Al Wahda, Abu Dhabi","Al Wahda Mall, Al Wahda","Al Wahda Mall, Al Wahda, Abu Dhabi",54.37332205,24.46936983,"Italian, Pizza"
