Restaurant ID,Country Code,City,"Restaurant Name,Address",Locality,Locality Verbose,Longitude,Latitude,Cuisines
6900714,215,Birmingham,"Pepe's Piri Piri,254-256 Alum Rock Road, Alum Rock, Birmingham B8 3DD",Alum Rock,"Alum Rock, Birmingham",-1.846811,52.488557,Fast Food
6900883,215,Birmingham,"Ju Ju's Cafe,1 Canal Square, Brindleyplace, Birmingham B16 8EH",Brindleyplace,"Brindleyplace, Birmingham",-1.918049,52.477569,"Cafe, British"
6900374,215,Birmingham,"Bank,4 Brindleyplace, Brindleyplace, Birmingham B1 2JB","Brindleyplace, Broad Street","Brindleyplace, Broad Street, Birmingham",-1.914805,52.477693,"British, Steak"
6900224,215,Birmingham,"Chaophraya,Middle Mall, Bullring Shopping Centre, Special street, Bullring, Birmingham B5 4BH","Bullring Shopping Centre, Southside","Bullring Shopping Centre, Southside, Birmingham",-1.894286,52.477633,Thai
6900160,215,Birmingham,"Handmade Burger Co.,Unit 3, St Martin Square, Bullring Shopping Centre, Bullring, Birmingham B5 4BU","Bullring Shopping Centre, Southside","Bullring Shopping Centre, Southside, Birmingham",-1.894286,52.477633,"Burger, American"
6900050,215,Birmingham,"Jamie's Italian,Middle Mall, Bullring Shopping Centre, Bullring, Birmingham B5 4BU","Bullring Shopping Centre, Southside","Bullring Shopping Centre, Southside, Birmingham",-1.894286,52.477633,Italian
6900724,215,Birmingham,"Bodega,12 Bennetts Hill, City Centre, Birmingham B2 5RS",City Centre,"City Centre, Birmingham",-1.900375,52.47969,Latin American
6901081,215,Birmingham,"San Carlo,4 Temple Street, City Centre, Birmingham B2 5BN",City Centre,"City Centre, Birmingham",-1.899133,52.480364,Italian
6900674,215,Birmingham,"Purnell's,55 Cornwall Street, Colmore Business District, Birmingham B3 2DH",Colmore Business District,"Colmore Business District, Birmingham",-1.901843,52.483643,Contemporary
6901062,215,Birmingham,"The Warehouse Cafe,54-57 Allison Street, Digbeth, Birmingham B5 5TH",Digbeth,"Digbeth, Birmingham",-1.890569,52.477388,"British, Cafe"
6900669,215,Birmingham,"Fiesta del Asado,229 Hagley Road, Edgbaston, Birmingham B16 9RP",Edgbaston,"Edgbaston, Birmingham",-1.938759,52.472197,"Latin American, Italian"
6900811,215,Birmingham,"Istanbul Restaurant,2 Stockwell Road, Handsworth, Birmingham B21 9RJ",Handsworth,"Handsworth, Birmingham",-1.939166667,52.51416667,Turkish
6901051,215,Birmingham,"The Plough,21 High Street, Harborne, Birmingham B17 9NT",Harborne,"Harborne, Birmingham",-1.943852,52.460962,British
6900388,215,Birmingham,"Lasan Restaurant,3-4 Dakota Buildings, James Street, Saint Paul's Square, Jewellery Quarter, Birmingham B3 1SD",Jewellery Quarter,"Jewellery Quarter, Birmingham",-1.907596,52.485015,Indian
18273002,215,Birmingham,"Damascena Coffee House,133 Alcester Road, Moseley, Birmingham",Moseley,"Moseley, Birmingham",-1.888555455,52.44630234,"Greek, Mediterranean, Middle Eastern"
6901231,215,Birmingham,"Tipu Sultan,43 Alcester Road, Moseley, Birmingham B13 8AA",Moseley,"Moseley, Birmingham",-1.889039,52.450999,"Indian, Pakistani"
6901394,215,Birmingham,"Jamjar,418 Coventry Road, Small Heath, Birmingham B10 0TH",Small Heath,"Small Heath, Birmingham",-1.860593,52.470571,"Ice Cream, Desserts, Cafe"
6900843,215,Birmingham,"Chennai Dosa,445-447, Dudley Road, Birmingham, Smethwick, Birmingham B18 4HE",Smethwick,"Smethwick, Birmingham",-1.947514,52.487692,"Indian, South Indian"
6900992,215,Birmingham,"Mughal E Azam,Stratford Road, Sparkhill, Birmingham B11 4DA",Sparkhill,"Sparkhill, Birmingham",-1.858529,52.443963,"Pakistani, Indian"
6900069,215,Birmingham,"Bar Estilo,110-114 Wharfside Street, The Mailbox, City Centre, Birmingham B1 1RF","The Mailbox, Broad Street","The Mailbox, Broad Street, Birmingham",-1.905477,52.475857,Mexican
