Restaurant ID,Country Code,City,Restaurant Name & Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines
16611114,14,Gympie,"Whitebull Hotel,117 Marsh St, Armidale, NSW",Armidale,"Armidale, Armidale",151.6688792,-30.5147169,"Bar Food, Steak"
16608864,14,Taree,"Taste of Balingup,63 South Western Hwy, Balingup, WA",Balingup,"Balingup, Balingup",115.9844924,-33.7845269,Modern Australian
16604911,14,Geelong,"Bridge Road Brewers,Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",Beechworth,"Beechworth, Beechworth",146.685852,-36.360439,"Pizza, Bar Food"
16615894,14,Townsville,"The Giggling Goat,14 Beerburrum St, Dicky Beach, QLD",Dicky Beach,"Dicky Beach, Dicky Beach",153.137401,-26.783576,"Coffee and Tea, Tea, Modern Australian"
16612028,14,Launceston,"The Belle General,12 Shelly Beach Rd, East Ballina, NSW",East Ballina,"East Ballina, East Ballina",153.593331,-28.862663,Cafe
16613507,14,Bundaberg,"Flaxton Gardens,313 Flaxton Drive, Flaxton, QLD",Flaxton,"Flaxton, Flaxton",152.8771473,-26.6521332,"Tea, Modern Australian"
16607969,14,Albany,"Bespoke Harvest,16 Grant St, Forrest, VIC",Forrest,"Forrest, Forrest",143.714315,-38.517292,"Cafe, Australian"
16604358,14,Wollongong,"Blue Bean Love Cafe,115 Main Rd, Hepburn Springs, Hepburn Springs, VIC",Hepburn Springs,"Hepburn Springs, Hepburn Springs",144.1387014,-37.3123267,"Cafe, Coffee and Tea, Modern Australian"
16604896,14,Armidale,"La Trattoria of Lavandula,350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,"Hepburn Springs, Hepburn Springs",144.110062,-37.275494,"Italian, Fusion, Cafe"
16612550,14,Murray Bridge,"5 Little Pigs,64 Owen St, Huskisson, NSW",Huskisson,"Huskisson, Huskisson",150.6710743,-35.0388698,"Breakfast, Modern Australian"
16606299,14,Portland,"Beach Box Cafe,6a Ramsay Blvd, Inverloch, VIC",Inverloch,"Inverloch, Inverloch",145.7287133,-38.6347458,"Burger, Coffee and Tea, Modern Australian"
16605794,14,Swan Hill,"Funkey Monkey,26 Myer street, Lakes Entrance, VIC",Lakes Entrance,"Lakes Entrance, Lakes Entrance",147.9942247,-37.8783865,"Breakfast, Coffee and Tea"
16611498,14,Bairnsdale,"Stillwater on Belmore,27 Belmore Rd,, Lorn, NSW",Lorn,"Lorn, Lorn",151.558475,-32.728097,"Breakfast, Coffee and Tea"
17842104,14,Ballina,"Mr.,23 Victoria St, Macedon, VIC",Macedon,"Macedon, Macedon",144.564174,-37.423189,Cafe
16611701,14,Wagga Wagga,"Star Buffet,58 Hanbury St, Mayfield, NSW",Mayfield,"Mayfield, Mayfield",151.7343832,-32.899178,Asian
16609169,14,Ballarat,"Three Anchors,2 Flinders Pde, Middleton Beach, WA",Middleton Beach,"Middleton Beach, Middleton Beach",117.917166,-35.025861,"Bar Food, Modern Australian"
